.hospital: whois.nic.hospital
.llp: whois.uniregistry.net
.goodyear: whois.nic.goodyear
.lol: whois.uniregistry.net
.jio: whois.nic.jio
.jobs: whois.nic.jobs
.london: whois.nic.london
.love: whois.nic.love
.gov: whois.dotgov.gov
.juniper: whois.nic.juniper
.poker: whois.afilias.net
.wine: whois.nic.wine
.hr: whois.dns.hr
.graphics: whois.nic.graphics
.work: whois.nic.work
.mr: whois.nic.mr
.ht: whois.nic.ht
.hughes: whois.nic.hughes
.kerryhotels: whois.nic.kerryhotels
.marriott: whois.afilias-srs.net
.mp: whois.nic.mp
‏.بھارت‎: whois.registry.in
.ke: whois.kenic.or.ke
.mov: whois.nic.google
.icbc: whois.nic.icbc
‏.بارت‎: whois.registry.in
.you: whois.nic.you
.madrid: whois.nic.madrid
.yokohama: whois.nic.yokohama
.run: whois.nic.run
.ma: whois.registre.ma
.католик: whois.nic.xn--80aqecdr1a
.ws: whois.website.ws
.kddi: whois.nic.kddi
.wme: whois.nic.wme
.wolterskluwer: whois.nic.wolterskluwer
.fashion: whois.nic.fashion
.kerryproperties: whois.nic.kerryproperties
.yamaxun: whois.nic.yamaxun
.name: whois.nic.name
.hu: whois.nic.hu
.xin: whois.nic.xin
.data: whois.nic.data
.memorial: whois.nic.memorial
.sandvikcoromant: whois.nic.sandvikcoromant
.men: whois.nic.men
‏.موقع‎: whois.afilias-srs.net
.woodside: whois.nic.woodside
.我爱你: whois.gtld.knet.cn
.mu: whois.nic.mu
.kr: whois.kr
.feedback: whois.nic.feedback
.maserati: whois.nic.maserati
.mtn: whois.nic.mtn
.移动: whois.afilias.net
.origins: whois.nic.origins
.solar: whois.nic.solar
.menu: whois.nic.menu
.org: whois.pir.org
.コム: whois.nic.xn--tckwe
.sandvik: whois.nic.sandvik
.network: whois.nic.network
.nf: whois.nic.nf
.quest: whois.nic.quest
.时尚: whois.gtld.knet.cn
.닷넷: whois.nic.xn--t60b56a
.sbs: whois.nic.sbs
.museum: whois.nic.museum
.my: whois.mynic.my
.mw: whois.nic.mw
.xfinity: whois.nic.xfinity
.ng: whois.nic.net.ng
.softbank: whois.nic.softbank
.mini: whois.nic.mini
.淡马锡: whois.afilias-srs.net
.点看: whois.nic.xn--3pxu8k
.zm: whois.zicta.zm
.公司: whois.ngtld.cn
.佛山: whois.ngtld.cn
.сайт: whois.nic.xn--80aswg
.me: whois.nic.me
.komatsu: whois.nic.komatsu
.newholland: whois.nic.newholland
.香格里拉: whois.nic.xn--5su34j936bgsg
.москва: whois.nic.xn--80adxhks
.organic: whois.afilias.net
.ngo: whois.publicinterestregistry.net
.stockholm: whois.afilias-srs.net
.luxe: whois.nic.luxe
.орг: whois.publicinterestregistry.net
